policy_id,policy_holder_id,policy_type,start_date,premium_amount
1,123,Life,2023-07-15,1123.25
2,87,Health,2023-12-09,1427.0
3,7,Life,2024-07-18,1719.17
4,211,Vehicle,2025-02-25,1693.52
5,66,Life,2023-11-22,409.12
6,250,Life,2025-01-16,1389.7
7,234,Health,2024-06-17,1625.42
8,182,Life,2024-09-17,633.71
9,36,Health,2024-02-09,634.92
10,233,Health,2024-08-05,1249.53
11,155,Vehicle,2024-04-02,1632.87
12,95,Vehicle,2024-08-03,413.29
13,269,Health,2024-12-29,1041.74
14,31,Life,2024-04-08,616.31
15,142,Vehicle,2023-10-25,676.11
16,154,Vehicle,2024-09-25,204.74
17,297,Health,2024-07-05,1910.87
18,136,Health,2023-10-13,508.77
19,128,Health,2024-07-05,803.83
20,248,Vehicle,2024-06-24,245.22
21,242,Health,2023-09-10,972.49
22,83,Vehicle,2023-09-02,1207.6
23,58,Life,2023-10-05,734.53
24,216,Vehicle,2023-10-31,210.63
25,287,Health,2023-08-23,1671.36
26,234,Life,2024-01-10,1810.26
27,289,Vehicle,2024-08-10,1009.13
28,49,Vehicle,2024-01-23,1251.11
29,8,Health,2024-02-29,732.85
30,74,Health,2025-02-24,1023.73
31,96,Vehicle,2024-12-25,692.39
32,71,Vehicle,2023-11-05,1156.08
33,223,Vehicle,2023-06-28,1477.34
34,64,Health,2024-12-30,1599.12
35,5,Life,2023-03-06,650.61
36,13,Life,2023-04-05,812.74
37,252,Vehicle,2023-09-25,1588.56
38,203,Vehicle,2023-12-18,222.27
39,1,Life,2023-12-21,885.04
40,150,Life,2023-08-04,926.02
41,28,Health,2024-06-21,1825.47
42,272,Health,2024-03-31,874.54
43,163,Life,2023-09-10,1477.34
44,218,Health,2024-05-29,887.35
45,247,Health,2024-08-05,206.28
46,85,Health,2023-07-01,207.37
47,258,Vehicle,2023-09-20,740.95
48,178,Health,2024-02-15,576.22
49,299,Vehicle,2023-09-18,1275.87
50,263,Vehicle,2023-10-16,546.33
51,87,Health,2025-01-04,1920.06
52,251,Health,2024-07-22,348.21
53,76,Health,2023-04-23,1337.11
54,18,Vehicle,2023-12-13,1640.34
55,51,Vehicle,2024-09-30,1320.38
56,113,Vehicle,2023-12-30,760.82
57,242,Vehicle,2024-10-09,434.56
58,33,Life,2024-07-19,1033.08
59,101,Vehicle,2023-03-10,584.11
60,201,Life,2023-10-09,1453.38
61,59,Health,2023-05-07,1997.74
