order_id,customer_id,order_date,status
1,64,2025-03-11,Cancelled
2,102,2025-08-12,Cancelled
3,81,2025-11-26,Cancelled
4,188,2025-08-10,Pending
5,121,2025-06-18,Pending
6,185,2025-04-21,Completed
7,23,2025-05-17,Pending
8,100,2025-08-23,Completed
9,112,2025-11-19,Completed
10,80,2025-06-14,Cancelled
11,79,2025-10-21,Completed
12,26,2025-12-01,Pending
13,78,2025-12-11,Pending
14,163,2025-05-20,Completed
15,172,2025-12-17,Cancelled
16,81,2025-09-05,Completed
17,112,2025-05-06,Cancelled
18,8,2025-03-23,Pending
19,36,2025-09-24,Cancelled
20,200,2025-03-19,Completed
21,6,2025-05-10,Cancelled
22,185,2025-12-18,Completed
23,73,2025-12-22,Cancelled
24,29,2025-09-27,Completed
25,6,2025-11-16,Cancelled
26,139,2025-10-10,Completed
27,79,2026-01-28,Pending
28,25,2025-05-12,Pending
29,70,2025-06-02,Cancelled
30,118,2026-01-11,Pending
31,171,2025-07-04,Completed
32,133,2026-02-03,Cancelled
33,83,2026-01-13,Cancelled
34,166,2025-12-11,Cancelled
35,106,2025-05-24,Cancelled
36,67,2025-11-03,Cancelled
37,76,2025-08-29,Cancelled
38,94,2025-05-29,Cancelled
39,73,2025-08-25,Pending
40,33,2025-09-15,Cancelled
41,188,2025-08-23,Cancelled
42,56,2025-10-06,Pending
43,80,2025-12-29,Completed
44,41,2026-02-17,Pending
45,148,2026-01-09,Cancelled
46,97,2026-01-13,Cancelled
47,75,2025-12-28,Cancelled
48,171,2025-11-15,Pending
49,126,2026-01-17,Pending
50,87,2025-12-03,Completed
51,7,2026-01-05,Cancelled
52,16,2025-12-13,Cancelled
53,119,2025-10-31,Pending
54,107,2025-12-03,Completed
55,116,2025-07-02,Cancelled
56,30,2025-06-29,Pending
57,166,2025-05-20,Completed
58,199,2025-07-13,Pending
59,133,2025-12-02,Pending
60,117,2026-01-21,Cancelled
61,33,2025-08-10,Cancelled
62,163,2026-03-05,Pending
63,138,2025-05-31,Cancelled
64,149,2025-04-19,Completed
65,88,2025-05-09,Completed
66,15,2025-09-18,Pending
67,31,2025-12-06,Cancelled
68,162,2025-06-02,Cancelled
69,129,2025-09-01,Cancelled
70,130,2025-05-28,Cancelled
71,69,2025-06-30,Cancelled
72,42,2025-12-18,Completed
73,111,2025-10-19,Pending
74,94,2025-07-15,Cancelled
75,62,2025-10-18,Completed
76,89,2025-04-21,Cancelled
77,19,2025-08-31,Cancelled
78,33,2025-12-09,Cancelled
79,120,2025-08-02,Pending
80,60,2025-11-29,Pending
81,146,2025-04-27,Completed
82,28,2025-11-22,Cancelled
