interaction_id,customer_id,interaction_type,interaction_date
1,2,Email,2026-02-16
2,45,Meeting,2025-10-14
3,21,Email,2025-08-17
4,12,Call,2026-02-09
5,17,Call,2025-04-03
6,37,Email,2025-07-22
7,36,Meeting,2025-11-09
8,34,Call,2025-04-14
9,30,Meeting,2026-02-17
10,43,Email,2025-04-17
11,42,Email,2025-11-25
12,10,Email,2025-08-07
13,15,Email,2025-07-07
14,13,Email,2025-09-07
15,21,Call,2025-04-04
16,7,Meeting,2026-01-17
17,15,Meeting,2025-06-29
18,47,Email,2025-03-28
19,37,Email,2025-03-10
20,43,Meeting,2025-04-23
21,37,Call,2026-03-03
22,27,Call,2026-01-30
23,34,Email,2025-08-07
24,8,Email,2025-08-13
25,28,Meeting,2025-04-17
26,35,Email,2025-10-09
27,14,Call,2025-04-19
28,7,Call,2025-07-08
29,31,Email,2025-12-10
30,23,Meeting,2025-09-08
31,34,Call,2025-12-25
32,35,Meeting,2025-09-20
33,47,Email,2025-11-16
34,23,Meeting,2025-11-28
35,20,Call,2025-06-08
36,3,Email,2026-02-22
37,37,Call,2025-12-09
38,8,Call,2025-07-14
39,48,Call,2025-11-25
40,6,Call,2025-03-18
41,7,Meeting,2025-07-07
42,8,Email,2025-05-03
43,32,Meeting,2025-06-09
44,38,Call,2025-07-20
45,38,Email,2025-03-09
46,48,Email,2025-09-20
47,42,Email,2025-05-16
48,8,Email,2025-07-07
49,43,Email,2025-04-29
50,42,Email,2026-01-30
51,39,Meeting,2025-12-18
52,17,Email,2025-08-26
53,8,Email,2025-08-01
54,29,Meeting,2025-03-22
55,42,Email,2025-05-30
56,30,Meeting,2025-08-14
57,20,Call,2025-07-04
58,16,Call,2026-01-15
59,15,Meeting,2025-05-22
60,49,Email,2026-01-24
61,18,Email,2025-04-28
62,5,Call,2025-04-14
63,43,Meeting,2025-09-25
64,25,Meeting,2025-06-11
65,36,Call,2025-03-24
66,47,Email,2025-09-03
67,33,Email,2025-06-16
68,50,Email,2025-06-19
69,9,Email,2025-10-05
70,11,Meeting,2026-02-26
71,15,Meeting,2025-03-21
72,27,Meeting,2025-06-04
73,28,Call,2026-02-20
74,34,Meeting,2025-08-22
75,27,Meeting,2025-09-23
76,19,Meeting,2025-12-05
77,18,Meeting,2026-02-08
78,34,Email,2025-07-15
79,23,Call,2025-08-27
80,46,Email,2026-03-02
81,28,Call,2025-10-28
82,28,Meeting,2025-10-03
83,11,Meeting,2025-05-15
84,48,Meeting,2025-09-12
85,9,Meeting,2026-01-09
86,37,Email,2025-12-19
87,11,Call,2026-02-02
88,22,Meeting,2025-07-30
89,19,Meeting,2026-01-31
90,42,Email,2026-02-25
91,47,Call,2026-02-13
92,27,Email,2025-11-28
93,36,Email,2025-03-11
94,35,Meeting,2025-10-01
95,34,Meeting,2025-06-27
96,26,Email,2025-09-21
97,30,Call,2026-02-04
98,24,Call,2025-10-06
99,40,Call,2025-03-10
100,12,Meeting,2026-02-26
