payment_id,policy_id,payment_date,amount
1,26,2025-12-26,1020.51
2,283,2026-02-17,1133.09
3,230,2025-07-24,1239.11
4,191,2025-10-22,1365.79
5,359,2026-02-05,778.49
6,26,2025-11-28,1632.69
7,492,2025-08-20,1445.38
8,327,2025-10-28,886.62
9,292,2025-03-24,1212.74
10,181,2025-11-19,1027.06
11,328,2025-07-16,1153.51
12,239,2025-08-20,1926.66
13,374,2025-09-16,321.87
14,86,2025-03-16,1926.58
15,458,2026-01-07,300.66
16,477,2026-02-07,498.6
17,133,2026-01-31,419.97
18,185,2025-06-09,1264.07
19,498,2025-05-24,1894.48
20,499,2025-10-25,737.05
21,12,2026-03-01,656.27
22,262,2025-05-07,1812.43
23,449,2026-01-11,153.91
24,84,2025-09-11,254.93
25,207,2025-09-09,387.1
26,410,2025-08-01,833.43
27,194,2025-05-23,1722.85
28,20,2025-07-16,1667.17
29,16,2025-08-09,674.85
30,151,2025-08-20,774.71
31,288,2025-08-09,643.38
32,282,2025-10-28,1780.1
33,165,2025-05-10,1656.11
34,18,2025-08-30,1405.73
35,78,2026-01-18,1063.66
36,330,2025-09-22,1431.87
37,295,2025-07-01,615.12
38,226,2026-02-04,651.62
39,250,2025-12-23,1424.99
40,142,2025-07-13,542.16
41,194,2025-12-02,961.3
42,252,2025-04-04,690.93
43,452,2025-12-20,442.12
44,342,2025-07-01,714.38
45,65,2025-09-25,160.09
46,122,2025-12-16,178.37
47,480,2026-01-22,1253.49
48,489,2025-11-28,507.42
49,58,2025-03-20,1401.79
50,361,2026-03-05,655.89
51,308,2025-06-29,559.03
52,190,2025-05-01,661.68
53,37,2025-08-14,1545.82
54,233,2025-04-19,988.4
55,139,2025-06-05,1008.82
56,160,2026-02-17,1398.44
57,454,2025-06-03,1227.52
58,137,2025-05-20,827.59
59,134,2025-07-05,897.06
60,309,2026-01-15,294.11
61,349,2025-06-17,1721.4
62,433,2025-07-02,1629.07
63,245,2025-09-18,904.0
64,6,2025-06-12,1750.17
65,492,2025-06-08,1632.17
66,238,2026-02-16,1834.79
67,219,2025-07-20,141.85
68,306,2025-03-31,1928.51
69,489,2025-07-22,1324.14
70,218,2025-07-12,1276.45
71,465,2025-10-18,1954.6
72,293,2025-10-03,321.69
73,140,2025-07-10,1931.18
74,356,2025-03-25,291.46
75,376,2025-05-28,603.88
76,95,2025-06-19,450.2
77,491,2025-06-27,135.94
78,292,2025-12-10,791.16
79,179,2025-09-03,507.14
80,335,2026-03-05,1930.69
81,482,2025-03-15,581.09
82,437,2025-03-25,1349.36
83,422,2025-11-27,1027.04
84,329,2025-11-01,1516.95
85,65,2025-07-17,785.59
86,479,2025-05-09,966.23
87,177,2025-09-24,1207.85
88,155,2025-11-20,969.85
89,23,2025-07-04,296.51
90,194,2025-12-22,317.32
91,181,2026-01-04,677.01
92,229,2025-10-13,212.18
93,408,2025-07-15,1054.44
94,120,2025-12-31,532.82
95,319,2025-07-11,1706.18
96,209,2025-03-14,842.77
97,298,2025-05-05,246.48
98,203,2025-08-05,1956.93
99,477,2026-01-31,1428.29
100,251,2025-12-28,1546.98
101,288,2026-01-21,1394.84
102,179,2026-02-11,1574.34
103,19,2026-01-22,900.67
104,10,2025-06-15,524.12
105,495,2025-12-10,549.36
106,463,2025-07-01,1499.01
107,80,2025-04-14,1821.22
108,72,2025-11-28,667.22
109,142,2025-07-18,806.47
110,129,2025-05-03,1203.47
111,452,2025-11-16,818.81
112,112,2025-11-26,624.11
113,219,2025-04-24,1868.77
114,233,2025-12-16,484.63
115,97,2026-01-13,469.2
116,404,2025-11-27,199.85
117,63,2025-08-02,1867.4
118,200,2025-06-05,486.88
119,213,2025-12-22,548.99
120,493,2025-10-30,772.24
121,165,2025-09-22,423.95
122,96,2025-12-11,101.41
123,324,2025-04-29,947.34
124,245,2025-06-02,1637.64
125,430,2025-04-11,595.21
126,194,2025-12-04,599.87
127,100,2025-12-28,1877.01
128,229,2026-02-03,1177.55
129,351,2025-05-29,1937.29
130,268,2025-03-25,1282.31
131,376,2025-06-08,595.97
132,495,2026-01-13,1925.0
133,299,2025-06-07,463.33
134,284,2025-08-18,631.92
135,113,2025-12-31,1570.48
136,381,2025-06-02,224.86
137,476,2025-11-19,1921.23
138,19,2026-02-15,1254.29
139,211,2025-08-27,508.49
140,338,2025-12-29,1968.64
141,132,2025-12-30,621.28
142,310,2025-04-30,623.47
143,46,2025-04-04,1067.95
144,204,2025-11-22,475.84
145,433,2026-01-18,817.32
146,233,2025-12-06,237.2
147,356,2025-08-16,323.59
148,397,2025-05-07,1772.38
149,391,2025-09-21,1426.54
150,107,2025-12-04,1521.07
151,309,2025-04-09,1194.05
152,424,2026-01-01,318.32
153,55,2026-03-01,714.96
154,14,2025-12-10,1507.73
155,160,2025-05-12,658.17
156,267,2025-06-09,862.49
157,61,2025-11-03,707.81
158,210,2025-09-02,1566.93
159,122,2025-09-18,573.46
160,495,2025-04-29,770.49
161,346,2025-12-01,1971.44
162,160,2025-07-28,1484.37
163,123,2025-10-05,435.86
164,342,2026-02-20,745.54
165,45,2025-05-10,711.99
166,182,2025-04-03,1961.66
167,75,2025-09-09,588.42
168,435,2025-05-07,200.25
169,12,2025-03-06,424.67
170,382,2025-10-19,270.47
171,150,2025-09-22,1821.49
172,319,2025-03-13,350.54
173,30,2025-03-20,509.55
174,14,2025-08-10,841.44
175,55,2026-01-19,1577.73
176,248,2025-07-19,541.24
177,42,2025-12-19,1568.0
178,142,2025-08-14,959.81
179,333,2026-02-27,1642.0
180,464,2025-06-14,352.31
181,171,2025-07-22,1452.22
182,479,2025-10-26,812.77
183,411,2025-06-29,330.7
184,140,2026-03-01,1176.47
185,389,2025-03-09,414.01
