order_item_id,order_id,product_id,quantity
1,78,53,3
2,258,42,5
3,177,14,5
4,162,93,1
5,402,30,3
6,121,80,5
7,109,11,5
8,325,6,3
9,438,92,5
10,142,4,2
11,60,86,4
12,332,41,5
13,153,55,1
14,86,84,3
15,384,15,2
16,378,47,5
17,306,66,5
18,381,1,2
19,295,14,5
20,124,50,2
21,290,77,5
22,245,4,2
23,332,51,4
24,45,32,1
25,15,79,5
26,226,97,5
27,136,32,4
28,213,29,4
29,168,74,5
30,215,18,3
31,158,51,1
32,495,23,5
33,468,3,5
34,263,61,3
35,348,37,2
36,3,41,5
37,84,12,5
38,332,95,1
39,260,79,1
40,287,88,2
41,384,34,1
42,211,69,1
43,382,11,5
44,465,64,3
45,440,43,3
46,362,64,3
47,269,62,4
48,113,24,4
49,253,50,5
50,466,84,3
51,207,97,2
52,419,7,4
53,384,92,3
54,244,22,2
55,250,64,5
56,300,34,4
57,462,72,3
58,28,49,1
59,388,10,1
60,333,33,4
61,194,96,3
62,404,81,2
63,87,4,5
64,314,100,5
65,300,4,5
66,376,19,5
67,168,99,2
68,58,61,2
69,445,43,1
70,304,90,2
71,380,68,2
72,111,23,5
73,332,60,1
74,166,53,5
75,124,96,4
76,357,87,2
77,233,18,5
78,456,56,3
79,204,3,2
80,376,91,5
81,73,1,5
82,457,74,1
83,280,52,1
84,275,4,2
85,290,58,2
86,36,36,2
87,111,48,4
88,282,81,5
89,361,46,2
90,355,10,4
91,364,41,5
92,442,60,2
93,187,28,2
94,222,72,4
95,134,82,2
96,224,93,4
97,92,35,1
98,251,67,3
99,290,27,2
100,71,15,3
101,4,64,5
102,192,66,5
103,109,3,3
104,113,3,4
105,76,33,1
106,270,36,5
107,224,35,5
108,152,30,4
109,369,93,4
110,307,97,5
111,401,62,3
112,313,56,4
113,11,59,5
114,334,97,3
115,262,16,2
116,57,6,4
117,470,31,4
118,136,36,3
119,246,9,1
120,455,3,4
121,280,65,4
122,129,61,3
123,243,78,3
124,332,83,5
125,469,25,1
126,460,14,4
127,435,3,4
128,398,77,3
129,26,71,5
130,40,49,2
131,130,46,3
132,457,25,5
133,153,78,2
134,257,8,5
135,433,1,1
136,79,81,2
137,200,81,2
138,7,88,3
139,158,43,3
140,337,14,3
141,138,71,1
142,288,96,4
143,480,91,5
144,150,40,1
145,388,19,1
146,364,98,1
147,391,23,2
148,33,39,3
149,151,11,3
150,76,25,4
151,83,25,3
152,6,63,5
153,109,23,4
154,77,55,1
155,284,54,5
156,89,93,3
157,260,22,1
158,180,99,2
159,175,86,3
160,376,37,1
161,417,67,1
162,54,11,4
163,222,42,2
164,325,1,2
165,115,18,1
166,114,44,1
167,69,37,1
168,146,16,5
169,384,98,3
170,449,28,4
171,346,74,2
172,95,76,3
173,206,38,4
174,69,9,2
175,457,79,3
176,285,30,5
177,186,62,1
178,33,90,3
179,219,47,4
180,314,31,3
181,113,45,4
182,59,40,3
183,222,38,5
184,214,56,4
185,180,47,2
186,170,53,3
187,261,31,3
188,448,56,5
189,194,57,4
190,415,16,3
191,444,3,3
192,270,51,1
193,37,14,2
194,141,100,1
195,228,60,1
196,53,1,1
197,160,58,4
198,52,28,5
199,233,91,5
200,204,39,3
201,97,15,4
202,435,47,5
203,249,81,5
204,120,46,5
205,135,82,2
206,498,71,2
207,286,79,2
208,201,57,5
209,455,46,5
210,430,89,4
211,383,21,4
212,279,2,1
213,332,100,4
214,334,86,2
215,146,44,4
216,260,62,1
217,201,45,2
218,232,2,4
219,64,84,5
220,262,46,3
221,64,54,2
222,461,29,3
223,406,35,5
224,170,72,4
225,67,14,1
226,382,30,1
227,400,51,1
228,227,78,5
229,2,89,2
230,435,14,4
231,225,32,1
232,305,63,2
233,386,81,4
234,294,43,3
235,286,54,5
236,390,61,5
237,93,26,1
238,195,75,2
239,34,86,1
240,269,25,3
241,373,18,1
242,250,24,3
243,384,18,2
244,218,80,5
245,217,45,1
246,104,27,5
247,328,46,4
248,352,63,3
249,371,46,4
250,44,78,5
251,93,55,1
252,357,95,2
253,446,37,3
254,249,32,5
255,452,32,2
256,117,29,4
257,67,50,2
258,270,73,4
259,408,23,2
260,132,99,1
261,272,67,4
262,285,77,4
263,116,93,3
264,242,15,1
265,58,51,1
266,338,29,4
267,74,47,1
268,451,29,2
269,491,45,1
270,445,36,1
271,52,13,3
272,203,51,3
273,246,42,4
274,464,42,4
275,478,87,3
276,117,85,2
277,305,50,2
278,59,63,1
279,109,87,1
280,322,27,5
281,219,9,1
282,131,64,3
283,155,17,3
284,315,42,5
285,496,97,3
286,490,62,1
287,380,20,1
288,243,68,2
289,256,86,3
290,298,81,2
291,333,99,3
292,113,39,2
293,179,45,2
294,322,35,1
295,350,25,4
296,5,48,1
297,51,71,4
298,3,51,3
299,169,42,4
300,463,79,4
301,194,6,5
302,7,27,1
303,233,36,5
304,25,66,4
305,493,88,3
306,36,58,3
307,24,100,3
308,183,34,2
309,384,30,4
310,394,36,5
311,335,34,3
312,1,90,5
313,436,95,3
314,269,2,4
315,401,84,1
316,240,68,2
317,417,33,2
318,199,32,3
319,459,87,3
320,437,90,4
321,425,19,3
322,287,91,2
323,448,48,1
324,200,93,2
325,78,64,3
326,18,63,5
327,77,99,3
328,133,47,4
329,204,83,2
330,263,28,2
331,151,49,1
332,386,84,3
333,325,62,1
334,31,74,5
335,45,66,1
336,322,54,5
337,158,65,4
338,328,87,3
339,498,60,4
340,443,19,4
341,341,74,5
342,475,61,2
343,300,94,4
344,379,21,4
345,434,11,3
346,131,30,1
347,108,94,3
348,247,96,4
349,158,93,5
350,377,5,3
351,72,67,5
352,99,60,2
353,392,48,2
354,101,65,5
355,168,87,3
356,452,30,1
357,187,18,5
358,90,46,4
359,263,35,5
360,271,15,4
361,166,50,1
362,415,30,1
363,39,42,5
364,9,54,2
365,312,3,2
366,197,35,4
367,170,29,2
368,388,23,1
369,256,100,4
370,145,72,2
371,160,32,1
372,273,69,2
373,203,31,2
374,297,72,5
375,282,65,4
376,330,61,4
377,270,23,5
378,431,86,4
379,50,11,3
380,304,11,4
381,220,87,5
382,316,73,1
383,340,52,3
384,299,89,4
385,38,80,4
386,283,19,3
387,343,78,4
388,423,30,4
389,30,66,1
390,341,34,3
391,288,59,5
392,305,33,3
393,106,24,2
394,252,72,2
395,78,58,3
